timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1724732502166,87,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-5,969",500,,21 minutes - 1 hour 30 minutes with 250 users 1-1,text,false,"Value in json path '$.error' expected to be 'false', but found '{}'",1136,1345,2,2,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,87,0,0
1724732511218,60,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-5,969",500,,21 minutes - 1 hour 30 minutes with 250 users 1-2,text,false,"Value in json path '$.error' expected to be 'false', but found '{}'",1136,1345,3,3,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,60,0,0
1724732524951,96,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-5,969",500,,21 minutes - 1 hour 30 minutes with 250 users 1-3,text,false,"Value in json path '$.error' expected to be 'false', but found '{}'",1136,1345,3,3,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,96,0,0
1724732533691,63,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-5,969",500,,21 minutes - 1 hour 30 minutes with 250 users 1-1,text,false,"Value in json path '$.error' expected to be 'false', but found '{}'",1136,1345,4,4,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,63,0,0
1724732541882,53,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-5,969",500,,21 minutes - 1 hour 30 minutes with 250 users 1-2,text,false,"Value in json path '$.error' expected to be 'false', but found '{}'",1136,1345,5,5,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,53,0,0
1724732542259,63,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-5,969",500,,21 minutes - 1 hour 30 minutes with 250 users 1-4,text,false,"Value in json path '$.error' expected to be 'false', but found '{}'",1136,1345,5,5,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,63,0,0
1724732555142,72,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-5,969",500,,21 minutes - 1 hour 30 minutes with 250 users 1-3,text,false,"Value in json path '$.error' expected to be 'false', but found '{}'",1136,1345,5,5,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,72,0,0
1724732561224,84,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-5,969",500,,21 minutes - 1 hour 30 minutes with 250 users 1-5,text,false,"Value in json path '$.error' expected to be 'false', but found '{}'",1136,1345,6,6,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,84,0,0
1724732565277,60,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-5,969",500,,21 minutes - 1 hour 30 minutes with 250 users 1-1,text,false,"Value in json path '$.error' expected to be 'false', but found '{}'",1136,1345,6,6,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,60,0,0
1724732572479,76,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-5,969",500,,21 minutes - 1 hour 30 minutes with 250 users 1-2,text,false,"Value in json path '$.error' expected to be 'false', but found '{}'",1136,1345,6,6,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,76,0,0
1724732573373,91,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-5,969",500,,21 minutes - 1 hour 30 minutes with 250 users 1-4,text,false,"Value in json path '$.error' expected to be 'false', but found '{}'",1136,1345,6,6,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,91,0,0
1724732578779,50,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-5,969",500,,21 minutes - 1 hour 30 minutes with 250 users 1-6,text,false,"Value in json path '$.error' expected to be 'false', but found '{}'",1136,1345,7,7,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,50,0,0
1724732591432,57,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-5,969",500,,21 minutes - 1 hour 30 minutes with 250 users 1-5,text,false,"Value in json path '$.error' expected to be 'false', but found '{}'",1136,1345,8,8,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,57,0,0
1724732592288,58,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-5,969",500,,21 minutes - 1 hour 30 minutes with 250 users 1-7,text,false,"Value in json path '$.error' expected to be 'false', but found '{}'",1136,1345,8,8,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,58,0,0
1724732601124,54,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-5,969",500,,21 minutes - 1 hour 30 minutes with 250 users 1-2,text,false,"Value in json path '$.error' expected to be 'false', but found '{}'",1136,1345,8,8,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,54,0,0
1724732601487,87,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-5,969",500,,21 minutes - 1 hour 30 minutes with 250 users 1-4,text,false,"Value in json path '$.error' expected to be 'false', but found '{}'",1136,1345,8,8,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,87,0,0
1724732607599,78,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-5,969",500,,21 minutes - 1 hour 30 minutes with 250 users 1-6,text,false,"Value in json path '$.error' expected to be 'false', but found '{}'",1136,1345,8,8,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,78,0,0
1724732609899,86,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-5,969",500,,21 minutes - 1 hour 30 minutes with 250 users 1-8,text,false,"Value in json path '$.error' expected to be 'false', but found '{}'",1136,1345,9,9,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,86,0,0
1724732614473,69,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-5,969",500,,21 minutes - 1 hour 30 minutes with 250 users 1-3,text,false,"Value in json path '$.error' expected to be 'false', but found '{}'",1136,1345,9,9,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,69,0,0
1724732619544,52,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-5,969",500,,21 minutes - 1 hour 30 minutes with 250 users 1-5,text,false,"Value in json path '$.error' expected to be 'false', but found '{}'",1136,1345,9,9,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,52,0,0
1724732619986,53,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-5,969",500,,21 minutes - 1 hour 30 minutes with 250 users 1-7,text,false,"Value in json path '$.error' expected to be 'false', but found '{}'",1136,1345,9,9,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,53,0,0
